state,x,y
Jammu and Kashmir,-93,199
Punjab,-113,137
Himachal Pradesh,-83,151
Haryana,-100,100
Uttarakhand,-50,118
Delhi,-84,87
Rajasthan,-151,48
Uttar Pradesh,-25,52
Bihar,60,31
Sikkim,102,64
Assam,175,51
Arunachal Pradesh,195,91
Nagaland,203,50
Manipur,195,22
Mizoram,179,-4
Tripura,158,-3
Meghalaya,147,33
West Bengal,103,-13
Jharkhand,52,-15
Chhattisgarh,-4,-48
Madhya Pradesh,-69,-28
Gujarat,-187,-30
Maharashtra,-113,-82
Odisa,39,-70
Telegana,-45,-145
Andhra Pradesh,-65,-165
Karnataka,-116,-182
Goa,-149,-165
Tamil Nadu,-69,-244
Kerela,-103,-262
